"X1","X2","val","copies","privacy","parents","data"
"03.agegr","30.wkabintdur",0.22248035192652,1,0,0,"sd2011"
"03.agegr","31.emcc",0.224237608101614,1,0,0,"sd2011"
"03.agegr","32.englang",0.0254320088391743,1,0,0,"sd2011"
"03.agegr","33.height",0.0101744544963286,1,0,0,"sd2011"
"03.agegr","34.weight",0.006565753752594,1,0,0,"sd2011"
"03.agegr","35.bmi",0.0418663377376112,1,0,0,"sd2011"
"04.placesize","05.region",0.0240973902157161,1,0,0,"sd2011"
"04.placesize","06.edu",0.00695417334664915,1,0,0,"sd2011"
"04.placesize","07.eduspec",0.00891493368001757,1,0,0,"sd2011"
"04.placesize","08.socprof",0.00649262587768081,1,0,0,"sd2011"
"04.placesize","09.unempdur",0.00122655340548973,1,0,0,"sd2011"
"04.placesize","10.income",0.0248208010103205,1,0,0,"sd2011"
"04.placesize","11.marital",0.0014083862103471,1,0,0,"sd2011"
"04.placesize","12.mmarr",0.0397048662231976,1,0,0,"sd2011"
"04.placesize","13.ymarr",0.0388395860287058,1,0,0,"sd2011"
"04.placesize","14.msepdiv",0.189137606986313,1,0,0,"sd2011"
"04.placesize","15.ysepdiv",0.187176441720742,1,0,0,"sd2011"
"04.placesize","16.ls",0.0014566522179679,1,0,0,"sd2011"
"04.placesize","17.depress",0.00300930524920833,1,0,0,"sd2011"
"04.placesize","18.trust",0.0016550131106131,1,0,0,"sd2011"
"04.placesize","19.trustfam",0.00094140417348835,1,0,0,"sd2011"
"04.placesize","20.trustneigh",0.000901994332816911,1,0,0,"sd2011"
"04.placesize","21.sport",0.00140087805983025,1,0,0,"sd2011"
"04.placesize","22.nofriend",0.0133405944170536,1,0,0,"sd2011"
"04.placesize","23.smoke",0.000563981205071555,1,0,0,"sd2011"
"04.placesize","24.nociga",0.000119393932239679,1,0,0,"sd2011"
"04.placesize","25.alcabuse",0.000532840318826315,1,0,0,"sd2011"
"04.placesize","26.alcsol",0.00228012408193438,1,0,0,"sd2011"
"04.placesize","27.workab",0.0116705368274141,1,0,0,"sd2011"
"04.placesize","28.wkabdur",0.178237508970628,1,0,0,"sd2011"
"04.placesize","29.wkabint",0.00118693543789579,1,0,0,"sd2011"
"04.placesize","30.wkabintdur",0.22154919752824,1,0,0,"sd2011"
"04.placesize","31.emcc",0.223515684911215,1,0,0,"sd2011"
"04.placesize","32.englang",0.00317533594614182,1,0,0,"sd2011"
"04.placesize","33.height",0.00498376102298191,1,0,0,"sd2011"
"04.placesize","34.weight",0.00254697062161054,1,0,0,"sd2011"
"04.placesize","35.bmi",0.0308157417740567,1,0,0,"sd2011"
"05.region","06.edu",0.00209242991252611,1,0,0,"sd2011"
"05.region","07.eduspec",0.0123133827003596,1,0,0,"sd2011"
"05.region","08.socprof",0.00639001119951845,1,0,0,"sd2011"
"05.region","09.unempdur",0.0165753278952686,1,0,0,"sd2011"
"05.region","10.income",0.0241410643927219,1,0,0,"sd2011"
"05.region","11.marital",0.00317487814845519,1,0,0,"sd2011"
"05.region","12.mmarr",0.0411178823137049,1,0,0,"sd2011"
"05.region","13.ymarr",0.0406462577726433,1,0,0,"sd2011"
"05.region","14.msepdiv",0.189564340272392,1,0,0,"sd2011"
