"X1","X2","val","copies","data"
"03.placesize","31.englang",0.00261726344343216,5,"sd2011_clean_small"
"03.placesize","32.height",0.000960052779635734,5,"sd2011_clean_small"
"03.placesize","33.weight",0.00633817730803709,5,"sd2011_clean_small"
"04.region","05.edu",0.00227133390366313,5,"sd2011_clean_small"
"04.region","06.eduspec",0.0118818480275179,5,"sd2011_clean_small"
"04.region","07.socprof",0.00580897059954973,5,"sd2011_clean_small"
"04.region","08.unempdur",0.0179608878423307,5,"sd2011_clean_small"
"04.region","09.income",0.00408139151463253,5,"sd2011_clean_small"
"04.region","10.marital",0.0025028450064549,5,"sd2011_clean_small"
"04.region","11.mmarr",0.00294482092807901,5,"sd2011_clean_small"
"04.region","12.ymarr",0.003521485483977,5,"sd2011_clean_small"
"04.region","13.msepdiv",0.00291650136630447,5,"sd2011_clean_small"
"04.region","14.ysepdiv",0.00411873959865524,5,"sd2011_clean_small"
"04.region","15.ls",0.00387272646603532,5,"sd2011_clean_small"
"04.region","16.depress",0.00256831140743302,5,"sd2011_clean_small"
"04.region","17.trust",0.00227095652975189,5,"sd2011_clean_small"
"04.region","18.trustfam",0.00210562029709608,5,"sd2011_clean_small"
"04.region","19.trustneigh",0.00181424313571059,5,"sd2011_clean_small"
"04.region","20.sport",0.00209226215242558,5,"sd2011_clean_small"
"04.region","21.nofriend",0.00446640925042227,5,"sd2011_clean_small"
"04.region","22.smoke",0.00125867111357097,5,"sd2011_clean_small"
"04.region","23.nociga",0.00279377703261785,5,"sd2011_clean_small"
"04.region","24.alcabuse",0.0011385174037495,5,"sd2011_clean_small"
"04.region","25.alcsol",0.0022643895790882,5,"sd2011_clean_small"
"04.region","26.workab",0.0044666338054621,5,"sd2011_clean_small"
"04.region","27.wkabdur",0.00223770334136364,5,"sd2011_clean_small"
"04.region","28.wkabint",0.001947545867373,5,"sd2011_clean_small"
"04.region","29.wkabintdur",0.00277494540264991,5,"sd2011_clean_small"
"04.region","30.emcc",0.00425484120303641,5,"sd2011_clean_small"
"04.region","31.englang",0.00192148293016017,5,"sd2011_clean_small"
"04.region","32.height",0.00296073987688955,5,"sd2011_clean_small"
"04.region","33.weight",0.00912401648818549,5,"sd2011_clean_small"
"05.edu","06.eduspec",0.0477789109857464,5,"sd2011_clean_small"
"05.edu","07.socprof",0.00926312007903416,5,"sd2011_clean_small"
"05.edu","08.unempdur",0.00126726088617176,5,"sd2011_clean_small"
"05.edu","09.income",0.00793391015535988,5,"sd2011_clean_small"
"05.edu","10.marital",0.00204079565018486,5,"sd2011_clean_small"
"05.edu","11.mmarr",0.000567550547298994,5,"sd2011_clean_small"
"05.edu","12.ymarr",0.000821521965057925,5,"sd2011_clean_small"
"05.edu","13.msepdiv",0.000973096015774997,5,"sd2011_clean_small"
"05.edu","14.ysepdiv",0.00155031003099762,5,"sd2011_clean_small"
"05.edu","15.ls",0.00233791581024328,5,"sd2011_clean_small"
"05.edu","16.depress",0.00205660633795897,5,"sd2011_clean_small"
"05.edu","17.trust",0.000918754247003988,5,"sd2011_clean_small"
"05.edu","18.trustfam",0.00122946771433906,5,"sd2011_clean_small"
"05.edu","19.trustneigh",0.000723008498122296,5,"sd2011_clean_small"
"05.edu","20.sport",0.00274909342888333,5,"sd2011_clean_small"
"05.edu","21.nofriend",0.00230604100516302,5,"sd2011_clean_small"
"05.edu","22.smoke",0.00184240882668344,5,"sd2011_clean_small"
"05.edu","23.nociga",0.00295901055367557,5,"sd2011_clean_small"
"05.edu","24.alcabuse",0.000424373000528957,5,"sd2011_clean_small"
"05.edu","25.alcsol",0.000586072668385772,5,"sd2011_clean_small"
"05.edu","26.workab",0.0014046025642679,5,"sd2011_clean_small"
"05.edu","27.wkabdur",0.000888823891347757,5,"sd2011_clean_small"
"05.edu","28.wkabint",0.000639720400357487,5,"sd2011_clean_small"
"05.edu","29.wkabintdur",0.000827361844742147,5,"sd2011_clean_small"
"05.edu","30.emcc",0.00199754438385627,5,"sd2011_clean_small"
"05.edu","31.englang",0.00816889238665895,5,"sd2011_clean_small"
"05.edu","32.height",0.000828677585997167,5,"sd2011_clean_small"
"05.edu","33.weight",0.0058989163633287,5,"sd2011_clean_small"
"06.eduspec","07.socprof",0.0167450015282518,5,"sd2011_clean_small"
"06.eduspec","08.unempdur",0.00416755902501294,5,"sd2011_clean_small"
"06.eduspec","09.income",0.0120889121940163,5,"sd2011_clean_small"
"06.eduspec","10.marital",0.00685616774763811,5,"sd2011_clean_small"
"06.eduspec","11.mmarr",0.00620041369556184,5,"sd2011_clean_small"
"06.eduspec","12.ymarr",0.00867029987559948,5,"sd2011_clean_small"
"06.eduspec","13.msepdiv",0.00582168678022487,5,"sd2011_clean_small"
"06.eduspec","14.ysepdiv",0.00668191970198647,5,"sd2011_clean_small"
"06.eduspec","15.ls",0.00577497497069197,5,"sd2011_clean_small"
"06.eduspec","16.depress",0.0054234555992293,5,"sd2011_clean_small"
"06.eduspec","17.trust",0.00465191938232047,5,"sd2011_clean_small"
"06.eduspec","18.trustfam",0.00411297593982386,5,"sd2011_clean_small"
"06.eduspec","19.trustneigh",0.00435414146074235,5,"sd2011_clean_small"
"06.eduspec","20.sport",0.00391384186709562,5,"sd2011_clean_small"
"06.eduspec","21.nofriend",0.00591564912981625,5,"sd2011_clean_small"
"06.eduspec","22.smoke",0.00353250727538687,5,"sd2011_clean_small"
"06.eduspec","23.nociga",0.00607211651697618,5,"sd2011_clean_small"
"06.eduspec","24.alcabuse",0.00286730636859124,5,"sd2011_clean_small"
"06.eduspec","25.alcsol",0.00328895292754408,5,"sd2011_clean_small"
"06.eduspec","26.workab",0.00630117084136209,5,"sd2011_clean_small"
"06.eduspec","27.wkabdur",0.0043387526887222,5,"sd2011_clean_small"
"06.eduspec","28.wkabint",0.00466244146395502,5,"sd2011_clean_small"
"06.eduspec","29.wkabintdur",0.00501736046566462,5,"sd2011_clean_small"
