"X1","X2","val","data","sdg"
"03.placesize","07.socprof",0.00666910138020792,"sd2011_clean_small","DataSynthesizer"
"03.placesize","08.unempdur",0.000324563692273252,"sd2011_clean_small","DataSynthesizer"
"03.placesize","09.income",0.00473861090067226,"sd2011_clean_small","DataSynthesizer"
"03.placesize","10.marital",0.00148951547102233,"sd2011_clean_small","DataSynthesizer"
"03.placesize","11.mmarr",0.000882167693854567,"sd2011_clean_small","DataSynthesizer"
"03.placesize","12.ymarr",0.00124601696836911,"sd2011_clean_small","DataSynthesizer"
"03.placesize","13.msepdiv",0.00111612519278929,"sd2011_clean_small","DataSynthesizer"
"03.placesize","14.ysepdiv",0.00109872055695209,"sd2011_clean_small","DataSynthesizer"
"03.placesize","15.ls",0.00118074936299217,"sd2011_clean_small","DataSynthesizer"
"03.placesize","16.depress",0.000796968035961754,"sd2011_clean_small","DataSynthesizer"
"03.placesize","17.trust",0.000777651060029669,"sd2011_clean_small","DataSynthesizer"
"03.placesize","18.trustfam",0.000706764773034561,"sd2011_clean_small","DataSynthesizer"
"03.placesize","19.trustneigh",0.000633308009463758,"sd2011_clean_small","DataSynthesizer"
"03.placesize","20.sport",0.00056960723084317,"sd2011_clean_small","DataSynthesizer"
"03.placesize","21.nofriend",0.00707567970612636,"sd2011_clean_small","DataSynthesizer"
"03.placesize","22.smoke",0.000353238860753799,"sd2011_clean_small","DataSynthesizer"
"03.placesize","23.nociga",0.000625176333316495,"sd2011_clean_small","DataSynthesizer"
"03.placesize","24.alcabuse",0.000402699737990912,"sd2011_clean_small","DataSynthesizer"
"03.placesize","25.alcsol",0.000672904888977172,"sd2011_clean_small","DataSynthesizer"
"03.placesize","26.workab",0.000321700556925372,"sd2011_clean_small","DataSynthesizer"
"03.placesize","27.wkabdur",0.000743099209469553,"sd2011_clean_small","DataSynthesizer"
"03.placesize","28.wkabint",0.000568495131509172,"sd2011_clean_small","DataSynthesizer"
"03.placesize","29.wkabintdur",0.000623084427161119,"sd2011_clean_small","DataSynthesizer"
"03.placesize","30.emcc",0.00197941960884914,"sd2011_clean_small","DataSynthesizer"
"03.placesize","31.englang",0.00146283218594707,"sd2011_clean_small","DataSynthesizer"
"03.placesize","32.height",0.00362250781471817,"sd2011_clean_small","DataSynthesizer"
"03.placesize","33.weight",0.00175242310027162,"sd2011_clean_small","DataSynthesizer"
"04.region","05.edu",0.00195916895477111,"sd2011_clean_small","DataSynthesizer"
"04.region","06.eduspec",0.01103004911652,"sd2011_clean_small","DataSynthesizer"
"04.region","07.socprof",0.00594194952922359,"sd2011_clean_small","DataSynthesizer"
"04.region","08.unempdur",0.00069510400967363,"sd2011_clean_small","DataSynthesizer"
"04.region","09.income",0.00479042043607096,"sd2011_clean_small","DataSynthesizer"
"04.region","10.marital",0.00218171180555476,"sd2011_clean_small","DataSynthesizer"
"04.region","11.mmarr",0.0020551731008314,"sd2011_clean_small","DataSynthesizer"
"04.region","12.ymarr",0.0013503588877472,"sd2011_clean_small","DataSynthesizer"
"04.region","13.msepdiv",0.00248840351489484,"sd2011_clean_small","DataSynthesizer"
"04.region","14.ysepdiv",0.00255263898659427,"sd2011_clean_small","DataSynthesizer"
"04.region","15.ls",0.00279467157783606,"sd2011_clean_small","DataSynthesizer"
"04.region","16.depress",0.0010245879241266,"sd2011_clean_small","DataSynthesizer"
"04.region","17.trust",0.000871860465053629,"sd2011_clean_small","DataSynthesizer"
"04.region","18.trustfam",0.00155896191001506,"sd2011_clean_small","DataSynthesizer"
"04.region","19.trustneigh",0.00158532784004063,"sd2011_clean_small","DataSynthesizer"
"04.region","20.sport",0.00165392077318173,"sd2011_clean_small","DataSynthesizer"
"04.region","21.nofriend",0.00810853463426643,"sd2011_clean_small","DataSynthesizer"
"04.region","22.smoke",0.000836011372282632,"sd2011_clean_small","DataSynthesizer"
"04.region","23.nociga",0.00128505980187988,"sd2011_clean_small","DataSynthesizer"
"04.region","24.alcabuse",0.000808525915888782,"sd2011_clean_small","DataSynthesizer"
"04.region","25.alcsol",0.000960666745968654,"sd2011_clean_small","DataSynthesizer"
"04.region","26.workab",0.000667469620874277,"sd2011_clean_small","DataSynthesizer"
"04.region","27.wkabdur",0.00155424115105745,"sd2011_clean_small","DataSynthesizer"
"04.region","28.wkabint",0.00143089590369448,"sd2011_clean_small","DataSynthesizer"
"04.region","29.wkabintdur",0.00137636920012039,"sd2011_clean_small","DataSynthesizer"
"04.region","30.emcc",0.002238095818797,"sd2011_clean_small","DataSynthesizer"
"04.region","31.englang",0.00158648004755751,"sd2011_clean_small","DataSynthesizer"
"04.region","32.height",0.00479607600002285,"sd2011_clean_small","DataSynthesizer"
"04.region","33.weight",0.00236898575471682,"sd2011_clean_small","DataSynthesizer"
"05.edu","06.eduspec",0.00103718854619162,"sd2011_clean_small","DataSynthesizer"
"05.edu","07.socprof",0.00827125602855376,"sd2011_clean_small","DataSynthesizer"
"05.edu","08.unempdur",0.000914396027128042,"sd2011_clean_small","DataSynthesizer"
"05.edu","09.income",0.00529336090826388,"sd2011_clean_small","DataSynthesizer"
"05.edu","10.marital",0.00132686972612414,"sd2011_clean_small","DataSynthesizer"
"05.edu","11.mmarr",0.000989870544503807,"sd2011_clean_small","DataSynthesizer"
"05.edu","12.ymarr",0.00106661830143006,"sd2011_clean_small","DataSynthesizer"
"05.edu","13.msepdiv",0.000808393152389014,"sd2011_clean_small","DataSynthesizer"
"05.edu","14.ysepdiv",0.000616306627508926,"sd2011_clean_small","DataSynthesizer"
"05.edu","15.ls",0.00219881759827404,"sd2011_clean_small","DataSynthesizer"
"05.edu","16.depress",0.000627672837996084,"sd2011_clean_small","DataSynthesizer"
"05.edu","17.trust",0.00076155019429962,"sd2011_clean_small","DataSynthesizer"
"05.edu","18.trustfam",0.000789645921740082,"sd2011_clean_small","DataSynthesizer"
"05.edu","19.trustneigh",0.000301124108202842,"sd2011_clean_small","DataSynthesizer"
"05.edu","20.sport",0.000804709855224413,"sd2011_clean_small","DataSynthesizer"
"05.edu","21.nofriend",0.00729636007438236,"sd2011_clean_small","DataSynthesizer"
"05.edu","22.smoke",0.00176528427612141,"sd2011_clean_small","DataSynthesizer"
"05.edu","23.nociga",0.002240027238504,"sd2011_clean_small","DataSynthesizer"
"05.edu","24.alcabuse",0.000339867530285554,"sd2011_clean_small","DataSynthesizer"
"05.edu","25.alcsol",0.000283839985799514,"sd2011_clean_small","DataSynthesizer"
"05.edu","26.workab",0.000744630319123347,"sd2011_clean_small","DataSynthesizer"
"05.edu","27.wkabdur",0.000551032262953214,"sd2011_clean_small","DataSynthesizer"
"05.edu","28.wkabint",0.000488532374072233,"sd2011_clean_small","DataSynthesizer"
"05.edu","29.wkabintdur",0.000701189668524126,"sd2011_clean_small","DataSynthesizer"
"05.edu","30.emcc",0.0013804777203971,"sd2011_clean_small","DataSynthesizer"
"05.edu","31.englang",0.00176195228392503,"sd2011_clean_small","DataSynthesizer"
"05.edu","32.height",0.00375695647666403,"sd2011_clean_small","DataSynthesizer"
"05.edu","33.weight",0.00196890139291045,"sd2011_clean_small","DataSynthesizer"
"06.eduspec","07.socprof",0.0124852627386074,"sd2011_clean_small","DataSynthesizer"
"06.eduspec","08.unempdur",0.00222097236439275,"sd2011_clean_small","DataSynthesizer"
