"X1","X2","val","copies","data"
"03.agegr","29.wkabint",0.000649300539022601,5,"sd2011"
"03.agegr","30.wkabintdur",0.00100262626612866,5,"sd2011"
"03.agegr","31.emcc",0.00168244126358271,5,"sd2011"
"03.agegr","32.englang",0.000457864411995205,5,"sd2011"
"03.agegr","33.height",0.000707893641751412,5,"sd2011"
"03.agegr","34.weight",0.000671749855523855,5,"sd2011"
"03.agegr","35.bmi",0.000881745398060589,5,"sd2011"
"04.placesize","05.region",0.000956525781906747,5,"sd2011"
"04.placesize","06.edu",0.000567557333097147,5,"sd2011"
"04.placesize","07.eduspec",0.00318564964968081,5,"sd2011"
"04.placesize","08.socprof",0.00170336073123672,5,"sd2011"
"04.placesize","09.unempdur",0.000337666722216188,5,"sd2011"
"04.placesize","10.income",0.00087234399206466,5,"sd2011"
"04.placesize","11.marital",0.000898726090718414,5,"sd2011"
"04.placesize","12.mmarr",0.000772373481625665,5,"sd2011"
"04.placesize","13.ymarr",0.000827286877760652,5,"sd2011"
"04.placesize","14.msepdiv",0.000722126886111776,5,"sd2011"
"04.placesize","15.ysepdiv",0.000853652776715358,5,"sd2011"
"04.placesize","16.ls",0.00085019870721905,5,"sd2011"
"04.placesize","17.depress",0.000816570448911003,5,"sd2011"
"04.placesize","18.trust",0.000481382422607411,5,"sd2011"
"04.placesize","19.trustfam",0.000738125554891382,5,"sd2011"
"04.placesize","20.trustneigh",0.000355905408429789,5,"sd2011"
"04.placesize","21.sport",0.000423228324395797,5,"sd2011"
"04.placesize","22.nofriend",0.000768863832197844,5,"sd2011"
"04.placesize","23.smoke",0.000278628352004545,5,"sd2011"
"04.placesize","24.nociga",0.00015955066528713,5,"sd2011"
"04.placesize","25.alcabuse",0.000396870634394239,5,"sd2011"
"04.placesize","26.alcsol",0.000429029735507625,5,"sd2011"
"04.placesize","27.workab",0.000297888103780412,5,"sd2011"
"04.placesize","28.wkabdur",0.0000915712170559687,5,"sd2011"
"04.placesize","29.wkabint",0.00050348316536674,5,"sd2011"
"04.placesize","30.wkabintdur",0.000682449684359294,5,"sd2011"
"04.placesize","31.emcc",0.00162493771955355,5,"sd2011"
"04.placesize","32.englang",0.000573467860305915,5,"sd2011"
"04.placesize","33.height",0.000769740555314904,5,"sd2011"
"04.placesize","34.weight",0.000855136216014562,5,"sd2011"
"04.placesize","35.bmi",0.00099395345237682,5,"sd2011"
"05.region","06.edu",0.00121656529628149,5,"sd2011"
"05.region","07.eduspec",0.00757245213309023,5,"sd2011"
"05.region","08.socprof",0.00333950075228731,5,"sd2011"
"05.region","09.unempdur",0.00110404722384276,5,"sd2011"
"05.region","10.income",0.00173735060597817,5,"sd2011"
"05.region","11.marital",0.00191558922807713,5,"sd2011"
"05.region","12.mmarr",0.00198604776572252,5,"sd2011"
"05.region","13.ymarr",0.00163882236154118,5,"sd2011"
"05.region","14.msepdiv",0.00193885338745691,5,"sd2011"
"05.region","15.ysepdiv",0.00192909662316746,5,"sd2011"
"05.region","16.ls",0.00246177806875429,5,"sd2011"
"05.region","17.depress",0.00154578373994691,5,"sd2011"
"05.region","18.trust",0.00122200939894934,5,"sd2011"
"05.region","19.trustfam",0.00112885872362196,5,"sd2011"
"05.region","20.trustneigh",0.00125427433446191,5,"sd2011"
"05.region","21.sport",0.000993187427591437,5,"sd2011"
"05.region","22.nofriend",0.0014850323419101,5,"sd2011"
"05.region","23.smoke",0.000719124663367212,5,"sd2011"
"05.region","24.nociga",0.000508185425842109,5,"sd2011"
"05.region","25.alcabuse",0.000697337887885366,5,"sd2011"
"05.region","26.alcsol",0.00100467777964339,5,"sd2011"
"05.region","27.workab",0.000926615978602216,5,"sd2011"
"05.region","28.wkabdur",0.000208848526189672,5,"sd2011"
"05.region","29.wkabint",0.00137930021189116,5,"sd2011"
"05.region","30.wkabintdur",0.00170087555838216,5,"sd2011"
"05.region","31.emcc",0.00362332461308216,5,"sd2011"
"05.region","32.englang",0.00114985016734008,5,"sd2011"
"05.region","33.height",0.00205377478302041,5,"sd2011"
"05.region","34.weight",0.00203971624427066,5,"sd2011"
"05.region","35.bmi",0.00239812857963417,5,"sd2011"
"06.edu","07.eduspec",0.00149730628226381,5,"sd2011"
"06.edu","08.socprof",0.00106029721074362,5,"sd2011"
"06.edu","09.unempdur",0.000282197393537203,5,"sd2011"
"06.edu","10.income",0.000660487142114866,5,"sd2011"
"06.edu","11.marital",0.000735859649969652,5,"sd2011"
"06.edu","12.mmarr",0.000674737955058788,5,"sd2011"
"06.edu","13.ymarr",0.000471307966537109,5,"sd2011"
"06.edu","14.msepdiv",0.000440929583794261,5,"sd2011"
"06.edu","15.ysepdiv",0.000511632431331517,5,"sd2011"
"06.edu","16.ls",0.0010604105995874,5,"sd2011"
"06.edu","17.depress",0.000772913386713841,5,"sd2011"
"06.edu","18.trust",0.000305879147279902,5,"sd2011"
"06.edu","19.trustfam",0.000522979092642619,5,"sd2011"
"06.edu","20.trustneigh",0.000307405157353845,5,"sd2011"
"06.edu","21.sport",0.000179614331686299,5,"sd2011"
"06.edu","22.nofriend",0.00064516868515079,5,"sd2011"
"06.edu","23.smoke",0.000274418348314864,5,"sd2011"
"06.edu","24.nociga",0.000248365509630188,5,"sd2011"
"06.edu","25.alcabuse",0.000313429836770903,5,"sd2011"
"06.edu","26.alcsol",0.000311278089102061,5,"sd2011"
"06.edu","27.workab",0.00031143259556266,5,"sd2011"
"06.edu","28.wkabdur",0.0000339360700573136,5,"sd2011"
"06.edu","29.wkabint",0.000381520489182994,5,"sd2011"
"06.edu","30.wkabintdur",0.000525437092924794,5,"sd2011"
"06.edu","31.emcc",0.00121030339934504,5,"sd2011"
"06.edu","32.englang",0.000292909329902119,5,"sd2011"
"06.edu","33.height",0.000560600039553338,5,"sd2011"
"06.edu","34.weight",0.000392439699490203,5,"sd2011"
"06.edu","35.bmi",0.000582973046464342,5,"sd2011"
"07.eduspec","08.socprof",0.0044376357344273,5,"sd2011"
"07.eduspec","09.unempdur",0.00157780419010442,5,"sd2011"
"07.eduspec","10.income",0.0030104790681132,5,"sd2011"
"07.eduspec","11.marital",0.00266491241616753,5,"sd2011"
"07.eduspec","12.mmarr",0.00327536877464192,5,"sd2011"
"07.eduspec","13.ymarr",0.00289952983669302,5,"sd2011"
"07.eduspec","14.msepdiv",0.00315728761701046,5,"sd2011"
"07.eduspec","15.ysepdiv",0.00302610810821213,5,"sd2011"
"07.eduspec","16.ls",0.00306025320597612,5,"sd2011"
"07.eduspec","17.depress",0.00244450285620708,5,"sd2011"
"07.eduspec","18.trust",0.00181781841373893,5,"sd2011"
"07.eduspec","19.trustfam",0.00192396122042038,5,"sd2011"
"07.eduspec","20.trustneigh",0.00178574991062129,5,"sd2011"
"07.eduspec","21.sport",0.00132271370934964,5,"sd2011"
"07.eduspec","22.nofriend",0.00284428404087467,5,"sd2011"
"07.eduspec","23.smoke",0.00110051141772249,5,"sd2011"
"07.eduspec","24.nociga",0.00106880809670329,5,"sd2011"
"07.eduspec","25.alcabuse",0.00128109812810082,5,"sd2011"
"07.eduspec","26.alcsol",0.00128003248295136,5,"sd2011"
"07.eduspec","27.workab",0.00139253013632715,5,"sd2011"
"07.eduspec","28.wkabdur",0.000390431709992184,5,"sd2011"
"07.eduspec","29.wkabint",0.00163311299168832,5,"sd2011"
"07.eduspec","30.wkabintdur",0.00205275986599319,5,"sd2011"
"07.eduspec","31.emcc",0.00340065941707086,5,"sd2011"
"07.eduspec","32.englang",0.00176608574973693,5,"sd2011"
"07.eduspec","33.height",0.00300305931150542,5,"sd2011"
"07.eduspec","34.weight",0.00308095336508947,5,"sd2011"
"07.eduspec","35.bmi",0.00323679415867171,5,"sd2011"
"08.socprof","09.unempdur",0.00109913798984426,5,"sd2011"
"08.socprof","10.income",0.00166667443542654,5,"sd2011"
"08.socprof","11.marital",0.00174126740437203,5,"sd2011"
"08.socprof","12.mmarr",0.00125582077578987,5,"sd2011"
"08.socprof","13.ymarr",0.00126377806273744,5,"sd2011"
"08.socprof","14.msepdiv",0.0013334780853847,5,"sd2011"
"08.socprof","15.ysepdiv",0.00145483259433966,5,"sd2011"
"08.socprof","16.ls",0.00154727795853059,5,"sd2011"
"08.socprof","17.depress",0.00118308647203777,5,"sd2011"
"08.socprof","18.trust",0.000799684636833804,5,"sd2011"
"08.socprof","19.trustfam",0.000712519429713612,5,"sd2011"
"08.socprof","20.trustneigh",0.000687463586293228,5,"sd2011"
"08.socprof","21.sport",0.000748127995342552,5,"sd2011"
"08.socprof","22.nofriend",0.00104042544403055,5,"sd2011"
"08.socprof","23.smoke",0.000546930818299695,5,"sd2011"
"08.socprof","24.nociga",0.000361423130474046,5,"sd2011"
"08.socprof","25.alcabuse",0.000490235963793214,5,"sd2011"
"08.socprof","26.alcsol",0.000690755149197376,5,"sd2011"
"08.socprof","27.workab",0.000701727321671358,5,"sd2011"
"08.socprof","28.wkabdur",0.000161248936655739,5,"sd2011"
"08.socprof","29.wkabint",0.000924003442204559,5,"sd2011"
"08.socprof","30.wkabintdur",0.00128033413387741,5,"sd2011"
"08.socprof","31.emcc",0.00232318446089118,5,"sd2011"
"08.socprof","32.englang",0.00104278272218066,5,"sd2011"
"08.socprof","33.height",0.00135350854424541,5,"sd2011"
"08.socprof","34.weight",0.00125111062924471,5,"sd2011"
"08.socprof","35.bmi",0.00148795677449143,5,"sd2011"
"09.unempdur","10.income",0.000506523895312477,5,"sd2011"
"09.unempdur","11.marital",0.000630425484528321,5,"sd2011"
"09.unempdur","12.mmarr",0.000430537635121141,5,"sd2011"
"09.unempdur","13.ymarr",0.00041094141624188,5,"sd2011"
"09.unempdur","14.msepdiv",0.000186177583063703,5,"sd2011"
"09.unempdur","15.ysepdiv",0.000410602603600592,5,"sd2011"
"09.unempdur","16.ls",0.00059399425383569,5,"sd2011"
"09.unempdur","17.depress",0.000503370033305331,5,"sd2011"
"09.unempdur","18.trust",0.0003563289454774,5,"sd2011"
"09.unempdur","19.trustfam",0.000142602987200252,5,"sd2011"
"09.unempdur","20.trustneigh",0.000188490727039466,5,"sd2011"
"09.unempdur","21.sport",0.000128287907526381,5,"sd2011"
"09.unempdur","22.nofriend",0.000297176492301579,5,"sd2011"
"09.unempdur","23.smoke",0.000130646769156556,5,"sd2011"
"09.unempdur","24.nociga",0.0000846357732969609,5,"sd2011"
"09.unempdur","25.alcabuse",0.000156243787314126,5,"sd2011"
"09.unempdur","26.alcsol",0.000194542783335719,5,"sd2011"
"09.unempdur","27.workab",0.00014689182448059,5,"sd2011"
"09.unempdur","28.wkabdur",0.0000147757113770886,5,"sd2011"
"09.unempdur","29.wkabint",0.000139808247442679,5,"sd2011"
"09.unempdur","30.wkabintdur",0.000268494997921306,5,"sd2011"
"09.unempdur","31.emcc",0.000958467424507718,5,"sd2011"
"09.unempdur","32.englang",0.000121336260172769,5,"sd2011"
"09.unempdur","33.height",0.000348446165922058,5,"sd2011"
"09.unempdur","34.weight",0.0004698417329201,5,"sd2011"
"09.unempdur","35.bmi",0.000410384186454266,5,"sd2011"
"10.income","11.marital",0.000904922654241154,5,"sd2011"
"10.income","12.mmarr",0.000767626042727792,5,"sd2011"
"10.income","13.ymarr",0.000769331286378073,5,"sd2011"
"10.income","14.msepdiv",0.000680496110847928,5,"sd2011"
