"age","height","weight","income","MALE","SMOKE","POST-SECONDARY OR HIGHER","PRIMARY/NO EDUCATION","SECONDARY","VOCATIONAL/GRAMMAR"
1,-0.285701442232399,0.141351336878032,-0.134850926249676,-0.146668372698168,-0.03063856361581,-0.0883559086527266,0.401619548540341,-0.0985668213023483,-0.162461518407062
-0.285701442232399,1,0.472113009842211,0.0670807691107044,0.583413383700772,0.0162446186813112,0.0250812029133423,-0.120348695264363,0.0102308751984174,0.0683500184671097
0.141351336878032,0.472113009842211,1,0.0324626588973444,0.312654089886293,0.0359478918208513,-0.00245487014824459,0.0127142277949881,0.00072830118185478,-0.00913144031485271
-0.134850926249676,0.0670807691107044,0.0324626588973444,1,0.0258882198083922,0.0401027110495589,0.172818799511834,-0.161992283241286,0.0137988530490271,-0.0148705136024566
-0.146668372698168,0.583413383700772,0.312654089886293,0.0258882198083922,1,0.00998814688951278,-0.0353042757575812,-0.093741588648313,-0.0015852283812516,0.107190331530859
-0.03063856361581,0.0162446186813112,0.0359478918208513,0.0401027110495589,0.00998814688951278,1,0.00312623441210257,-0.0586450794673072,0.0319957386239667,0.0145885475288411
-0.0883559086527266,0.0250812029133423,-0.00245487014824459,0.172818799511834,-0.0353042757575812,0.00312623441210257,1,-0.222418694447586,-0.305944577865306,-0.332712059957766
0.401619548540341,-0.120348695264363,0.0127142277949881,-0.161992283241286,-0.093741588648313,-0.0586450794673072,-0.222418694447586,1,-0.311358661339849,-0.338599828514352
-0.0985668213023483,0.0102308751984174,0.00072830118185478,0.0137988530490271,-0.0015852283812516,0.0319957386239667,-0.305944577865306,-0.311358661339849,1,-0.465755730908241
-0.162461518407062,0.0683500184671097,-0.00913144031485271,-0.0148705136024566,0.107190331530859,0.0145885475288411,-0.332712059957766,-0.338599828514352,-0.465755730908241,1
